( 1.13424033570912 , 4.023889881663365 )
( 1.1377865617936405 , 4.1321344408475635 )
( 1.1386857999849842 , 4.158845399355913 )
( 1.1462053740001488 , 4.16882631364947 )
( 1.183593349150873 , 4.252957816596741 )
( 1.35101358306015 , 4.269052035798183 )
( 1.4354506157609739 , 4.294990928445904 )
( 1.4700327369611275 , 4.332295137246435 )
( 1.4922486300259659 , 4.396795416576131 )
( 1.503827806234572 , 4.41332815521668 )
( 1.5088624870885794 , 4.504731131949729 )
( 1.5377463232083792 , 4.548855968971303 )
( 1.5907003480428374 , 4.632837387812426 )
( 1.6277446790286343 , 4.787664875014508 )
( 1.6415820701759158 , 4.833108359623226 )
( 1.6732763171832048 , 4.864216879356362 )
( 1.7114900084430817 , 4.927851966134419 )
( 1.7850484358057876 , 4.98157366302282 )
( 1.8621475113020116 , 5.089736768902952 )
( 1.9807237206180657 , 5.1573071050413315 )
( 2.234178778444711 , 5.3539958569384165 )
( 2.569203176306978 , 5.355736086040852 )
( 2.610461466019939 , 5.371527416271772 )
( 2.6213210973682344 , 5.517451310760576 )
( 2.6241993691222083 , 5.561917449505498 )
( 2.701989078028592 , 5.602128741792646 )
( 2.915012493207596 , 5.659148315570955 )
( 3.091735870586286 , 5.7175892266834145 )
( 3.10497890896882 , 5.8463340090219615 )
( 3.112154364958659 , 5.957962797447193 )
( 3.147182536780911 , 6.065747468489534 )
( 3.1535188015259656 , 6.07283205768693 )
( 3.1781012654236456 , 6.091391836031606 )
( 3.196890758092697 , 6.121505581320418 )
( 3.3198474187271856 , 6.126093161166096 )
( 3.321096461326079 , 6.220951824794246 )
( 3.4756110615339266 , 6.343897121366826 )
( 3.503527122893076 , 6.34443599198679 )
( 3.505400572245568 , 6.39626744173855 )
( 3.5322171454946543 , 6.453210235586711 )
( 3.636336629951822 , 6.477291945412227 )
( 3.8786090502440915 , 6.498440156409882 )
( 3.9283024862977216 , 6.504584786819123 )
( 3.9537299612762054 , 6.506021712691182 )
( 3.98862165163863 , 6.50888063273261 )
( 4.022127471301621 , 6.523159461795496 )
( 4.063501077140434 , 6.527140379372253 )
( 4.06912314634627 , 6.5945065074981315 )
( 4.082264265702123 , 6.632537830967822 )
( 4.130209598110091 , 6.6468210728496375 )
( 4.207612653974667 , 6.943192380029072 )
( 4.299145058854535 , 6.947320474365247 )
( 4.318570920395016 , 6.978054321146305 )
( 4.325425714048579 , 6.98529046515152 )
( 4.354917054009193 , 7.055018055422738 )
( 4.363991101274253 , 7.0551108968591985 )
( 4.374586597233824 , 7.134775604397199 )
( 4.382047614521577 , 7.287306542342824 )
( 4.730355241700021 , 7.349495043816044 )
( 4.760478615122318 , 7.494092936751248 )
( 4.850346875376302 , 7.668107117092415 )
( 4.860179522848819 , 7.763527249842251 )
( 4.893437756013258 , 7.942584952355767 )
( 4.941770025789796 , 7.948828751731384 )
